Common website translations - a resource by and from !frappant and contributing translators - https://github.com/frappant/common-website-translations,,,,
en_GB,de_DE,fr_FR,it_IT,
Ask question - BCC,Frage stellen - BCC-Adresse,Poser une question - BCC,Fare una domanda - BCC,
BCC email address,BCC-E-Mail-Adresse,Adresse e-mail BCC,Indirizzo e-mail BCC,
Format: Recipient name &lt;mail@example.org&gt;. Multiple email addresses are not allowed.,Format: Empfänger Name &lt;mail@example.org&gt;. Mehrere Adressen sind nicht erlaubt.,Format: Nom du destinataire &lt;mail@example.org&gt;. Les adresses e-mail multiples ne sont pas autorisées.,Formato: Nome destinatario &lt;mail@example.org&gt;. Non sono consentiti indirizzi e-mail multipli.,
Ask question,Frage stellen,Poser une question,Fare una domanda,
Email address for notifications,E-Mail für Benachrichtigungen,Adresse e-mail pour les notifications,Indirizzo di posta elettronica per notifiche,
This email address will be used for functions which allow the website visitor to contact the owner of the website.,"Diese E-Mail-Adresse wird für Funktionen verwendet, die es einem Website-Besucher ermöglichen, Kontakt mit dem Website-Administrator aufzunehmen.",Cette adresse e-mail permettra aux visiteurs du site Web de contacter le propriétaire du site.,Questo indirizzo di posta elettronica verrà utilizzato per funzioni che consentono al visitatore del sito web di contattare il proprietario del sito web.,
Your question is being submitted. One moment please…,Ihre Frage wird übermittelt...,Votre question est en cours de soumission. Un moment s’il vous plaît…,Invio della domanda in corso. Si prega di attendere…,
Your question has been submitted successfully. Thank you for getting in touch.,"Ihre Frage wurde erfolgreich übermittelt, wir werden Sie demnächst kontaktieren. Vielen Dank!",Votre question a été soumise avec succès. Merci de nous avoir contactés.,Invio della domanda riuscito. Grazie per essersi messo in contatto.,
No administrator email address defined at %1$s. Fix it using the following link:%2$s%2$s<%3$s>,Es wurde keine Admin-E-Mail definiert: %1$s. Klicken Sie Hier:%2$s%2$s<%3$s>,Aucune adresse e-mail administrateur définie sur %1$s. Réparer à l’aide du lien suivant:%2$s%2$s<%3$s>,Nessun indirizzo di posta elettronica amministratore definito a %1$s. Correggere utilizzando il link seguente:%2$s%2$s<%3$s>,
"No administrator email address has been defined for this site, so your question could not be submitted. The technical administrator has been notified.",Leider ist beim Übermitteln ein Problem aufgetaucht. Der Website-Administrator ist informiert worden.,"Aucune adresse e-mail administrateur n’ayant été définie pour ce site, votre question n’a pas pu être soumise. L’administrateur technique a été informé.","Non è stato definito alcun indirizzo di posta elettronica amministratore per questo sito, pertanto non è possibile inviare la Sua domanda. L’amministratore tecnico ha ricevuto una notifica.",
Your question has been sent to the site administrator. Thank you for getting in touch.,"Ihre Frage wurde erfolgreich übermittelt, wir werden Sie demnächst kontaktieren. Vielen Dank!",Votre question a été envoyée à l’administrateur du site. Merci de nous avoir contactés.,La Sua domanda è stata inviata all’amministratore del sito. Grazie per essersi messo in contatto.,
Mail dispatch from %1$s to %2$s failed. Message was %3$s.,Mail dispatch von %1$s an %2$s fehlgeschlagen. Inhalt der Nachricht: %3$s.,Échec de la distribution des messages de %1$s à %2$s. Le message était %3$s.,Invio e-mail da %1$s a %2$s fallito Il messaggio era %3$s.,
"Your question could not be sent to the site administrator. Please <a href=""mailto:%1$s?subject=%2$s"">contact the website administrator</a> if this problem recurs.","Leider ist beim Übermitteln ein Problem aufgetaucht. Bitte <a href=""mailto:%1$s?subject=%2$s"">kontaktieren Sie den Adminstrator</a>, falls das Problem erneut auftritt.","Votre question n’a pas pu être envoyée à l’administrateur du site. Veuillez <a href=""mailto:%1$s?subject=%2$s"">contacter l’administrateur du site Web</a>si ce problème se reproduit.","Non è stato possibile inviare la Sua domanda all’amministratore del sito. Contattare <a href=""mailto:%1$s?subject=%2$s"">l’amministratore del sito web</a> se questo problema dovesse ripresentarsi.",
My question could not be submitted at %1$s,Meine Frage konnte nicht abgesandt werden: %1$s,Ma question n’a pas pu être soumise à %1$s,Non è stato possibile inviare la mia domanda a %1$s,
"Sorry, you must be logged in to access this feature.","Sie müssen angemeldet sein, um diese Funktion zu nutzen.","Désolé, vous devez être connecté pour accéder à cette fonctionnalité.",Siamo spiacenti. Deve effettuare il login per accedere a questa funzionalità.,
